Rank,Ticker,Employees
1,WMT,2200000
2,AMZN,1298000
3,ACN,510500
4,FDX,506000
5,UPS,495000
6,KR,435000
7,HD,415700
8,BRK.B,391500
9,IBM,381100
10,TGT,368000
11,SBUX,349000
12,WBA,331000
13,UNH,325000
14,LOW,320000
15,PEP,291000
16,CVS,290000
17,CTSH,286375
18,TJX,286000
19,HCA,280000
20,COST,273000
21,WFC,262100
22,JPM,256692
23,T,242000
24,BAC,210250
25,DIS,205500
26,MCD,205000
27,C,200000
28,DLTR,193100
29,F,186000
30,RTX,181000
31,DRI,177000
32,GE,174000
33,MAR,174000
34,HLT,173000
35,CMCSA,168000
36,RHI,163500
37,MSFT,163000
38,GM,155000
39,APTV,151000
40,AAPL,147000
41,DG,143000
42,BA,141000
43,TSN,139500
44,DXC,138000
45,ORCL,135000
46,VZ,134750
47,JNJ,132200
48,GOOG,129492
49,GOOGL,129492
50,GPS,129000
51,BBY,125000
52,AAL,116025
53,LMT,114000
54,INTC,110600
55,ABT,107000
56,HON,105500
57,CAT,102300
58,GD,100700
59,AZO,100000
60,CBRE,100000
61,PG,99000
62,NOC,97000
63,CHTR,96100
64,ETN,95250
65,MMM,95000
66,LB,94400
67,UAL,92725
68,ROST,92500
69,UHS,90400
70,MDT,90000
71,PFE,88300
72,CMG,88000
73,KO,86200
74,SLB,86000
75,RCL,85400
76,EMR,83500
77,JCI,83000
78,ORLY,82167
79,TEL,82000
80,APH,80000
81,MCK,80000
82,MDLZ,79000
83,LIN,77551
84,CSCO,77500
85,WHR,77500
86,MMC,76000
87,NKE,75400
88,TMO,75000
89,XOM,74900
90,DAL,74000
91,CI,73700
92,BDX,72000
93,MRK,71000
94,PM,71000
95,TSLA,70757
96,ANTM,70600
97,CCL,70000
98,MGM,70000
99,OMC,70000
100,USB,69651
101,DE,69600
102,OTIS,69000
103,IQV,68000
104,DVA,67000
105,AAP,67000
106,LH,65000
107,AXP,63900
108,WDC,63800
109,BKR,63250
110,MS,61437
111,SHW,61111
112,HBI,61000
113,MPC,60910
114,DHR,60000
115,CMI,59720
116,SWK,59438
117,HPE,59400
118,LUV,59117
119,TFC,59000
120,ADP,58000
121,SYY,57000
122,CNC,56600
123,CARR,55331
124,FIS,55000
125,J,55000
126,GPC,55000
127,IPG,54300
128,FB,54014
129,TMUS,53000
130,HPQ,53000
131,COF,52400
132,PNC,51918
133,PRU,51511
134,IP,51000
135,LKQ,51000
136,PH,50520
137,ECL,50200
138,GLW,50110
139,AON,50000
140,BAX,50000
141,WRK,49300
142,CRM,49000
143,MET,49000
144,BK,48300
145,CVX,48200
146,EL,48000
147,VFC,48000
148,CAH,48000
149,AMCR,47000
150,DGX,47000
151,ALL,46290
152,HUM,46000
153,LVS,46000
154,AIG,46000
155,NLSN,46000
156,WLTW,45400
157,WM,44900
158,KMB,44500
159,FISV,44000
160,ITW,44000
161,ULTA,44000
162,SYK,43000
163,PPG,43000
164,HAL,42500
165,STX,42000
166,HII,42000
167,MHK,41800
168,HWM,41700
169,PGR,41571
170,QCOM,41000
171,PWR,40300
172,MU,40000
173,CTAS,40000
174,PVH,40000
175,LUMN,39875
176,STT,39117
177,ABBV,38500
178,GS,38300
179,ADM,38100
180,KHC,37000
181,BSX,36000
182,RSG,36000
183,NCLH,36000
184,DOW,35700
185,TT,35000
186,GIS,35000
187,VTRS,35000
188,TXT,35000
189,CL,34300
190,DD,34250
191,YUM,34000
192,LDOS,34000
193,LLY,33625
194,CB,33000
195,EXC,32713
196,AJG,32401
197,TSCO,32000
198,UNP,31285
199,LHX,31000
200,K,31000
201,TRV,30600
202,BMY,30250
203,WYNN,30200
204,TXN,30000
205,AVY,30000
206,NWL,30000
207,NOV,29593
208,JBHT,29056
209,BWA,29000
210,DUK,28793
211,VIAC,28570
212,SO,27943
213,FCX,27500
214,WAB,27500
215,CERN,27400
216,KMX,27050
217,PCAR,27000
218,NUE,26800
219,PYPL,26500
220,XRX,26475
221,LYV,25900
222,BKNG,25400
223,GWW,25300
224,FTV,25000
225,IRM,25000
226,RL,24900
227,FBHS,24700
228,AMGN,24300
229,AMAT,24000
230,GPN,24000
231,ROK,23500
232,NWSA,23500
233,NWS,23500
234,SPGI,23000
235,DOV,23000
236,ADBE,22516
237,ABC,22000
238,LEG,22000
239,MA,21000
240,AVGO,21000
241,CTVA,21000
242,AES,21000
243,SCHW,20950
244,ALK,20935
245,FAST,20874
246,V,20500
247,FITB,20168
248,NSC,20156
249,ODFL,20105
250,ZBH,19900
251,NTRS,19800
252,RF,19786
253,HIG,19500
254,CSX,19300
255,APD,19275
256,D,19100
257,LYB,19100
258,EXPE,19100
259,HSIC,19000
260,HRL,18900
261,BLL,18300
262,URI,18250
263,AME,18100
264,MCHP,18000
265,MSI,18000
266,CFG,18000
267,EXPD,18000
268,MAS,18000
269,AEP,17408
270,PFG,17400
271,MTB,17316
272,TPR,17300
273,DFS,17200
274,TAP,17000
275,KEY,16744
276,IT,16724
277,NEM,16600
278,MTD,16500
279,SYF,16500
280,CAG,16500
281,SEE,16500
282,ROP,16460
283,UAA,16400
284,UA,16400
285,BLK,16350
286,A,16342
287,XYL,16300
288,FLS,16250
289,HSY,16140
290,INFO,16000
291,DISH,16000
292,ADI,15900
293,PAYX,15800
294,HBAN,15608
295,DTE,15600
296,PKG,15500
297,CHRW,15337
298,XRAY,15200
299,SNPS,15036
300,GRMN,15000
301,ROL,14952
302,NEE,14900
303,ED,14890
304,RJF,14800
305,EW,14650
306,ALGN,14530
307,PSX,14500
308,EMN,14500
309,CPB,14500
310,OXY,14400
311,TFX,14400
312,CNP,14262
313,TDG,14200
314,AIZ,14200
315,SRE,13969
316,KEYS,13900
317,CTLT,13900
318,AOS,13900
319,NVDA,13775
320,ETR,13635
321,IFF,13600
322,MOS,13300
323,DPZ,13100
324,MKC,13000
325,PKI,13000
326,STE,13000
327,PEG,12992
328,EIX,12937
329,EBAY,12700
330,AMD,12600
331,AMP,12500
332,FE,12316
333,SNA,12300
334,PPL,12280
335,L,12200
336,NOW,12197
337,COO,12000
338,BR,12000
339,LRCX,11850
340,GILD,11800
341,TDY,11790
342,AFL,11729
343,WU,11500
344,TRMB,11484
345,LNC,11357
346,XEL,11317
347,MCO,11259
348,EFX,11200
349,PRGO,11200
350,ALLE,11000
351,NTAP,10800
352,INTU,10600
353,ZTS,10600
354,KLAC,10600
355,BEN,10575
356,KMI,10524
357,VAR,10372
358,UNM,10300
359,VLO,10222
360,ADSK,10100
361,COP,10075
362,SWKS,10000
363,CDW,9900
364,ZION,9873
365,JNPR,9817
366,EA,9800
367,DHI,9716
368,PNR,9500
369,LEN,9495
370,NFLX,9400
371,WY,9400
372,AEE,9323
373,IDXX,9300
374,VRSK,9300
375,ATVI,9200
376,DISCK,9200
377,DISCA,9200
378,REGN,9123
379,BIIB,9100
380,STZ,9000
381,FOX,9000
382,FOXA,9000
383,CTXS,9000
384,MLM,8846
385,CMS,8837
386,ZBRA,8800
387,CLX,8800
388,VMC,8767
389,IVZ,8761
390,VNT,8400
391,EQIX,8378
392,NI,8363
393,ES,8234
394,WST,8200
395,FLT,8175
396,BIO,8120
397,CDNS,8100
398,ISRG,8081
399,QRVO,7900
400,CMA,7870
401,RMD,7770
402,AKAM,7724
403,ILMN,7700
404,LW,7700
405,TROW,7678
406,CE,7658
407,CPRT,7600
408,FTNT,7553
409,ICE,7512
410,WEC,7509
411,WAT,7500
412,WRB,7493
413,IEX,7439
414,MO,7300
415,SJM,7300
416,MXIM,7115
417,AWK,6800
418,JKHY,6717
419,IR,6600
420,KSU,6522
421,PBCT,6499
422,DXCM,6400
423,FMC,6400
424,PNW,6210
425,NVR,6100
426,ALB,6000
427,FFIV,5983
428,IPGP,5960
429,PSA,5900
430,HOLX,5814
431,TTWO,5800
432,HAS,5600
433,TYL,5455
434,AMT,5454
435,TER,5400
436,PHM,5249
437,CINF,5148
438,CCI,5100
439,FRC,5049
440,TWTR,4900
441,XLNX,4891
442,WMB,4812
443,BF.B,4800
444,CHD,4800
445,ATO,4694
446,EVRG,4617
447,NDAQ,4590
448,NRG,4577
449,SPG,4500
450,POOL,4500
451,CME,4360
452,FLIR,4265
453,ANSS,4100
454,HFC,4074
455,EXR,4048
456,VNO,4008
457,SIVB,3898
458,ALXN,3837
459,PAYC,3765
460,NLOK,3600
461,LNT,3597
462,MSCI,3537
463,VRTX,3400
464,GL,3196
465,APA,3163
466,AVB,3122
467,CF,3000
468,EOG,2900
469,OKE,2882
470,EQR,2700
471,MAA,2513
472,MNST,2422
473,PXD,2323
474,ANET,2300
475,MPWR,2002
476,MRO,2000
477,PLD,1945
478,ESS,1822
479,DVN,1800
480,HES,1775
481,INCY,1773
482,RE,1603
483,DLR,1550
484,ABMD,1536
485,SBAC,1475
486,UDR,1351
487,ETSY,1295
488,SLG,1033
489,VRSN,872
490,BXP,760
491,FANG,712
492,ENPH,577
493,COG,547
494,MKTX,527
495,VTR,516
496,KIM,502
497,ARE,470
498,REG,450
499,WELL,423
500,DRE,400
501,FRT,311
502,PEAK,217
503,O,197
504,HST,175